spec_id,spec_name,spec_code,program_id,semester_id,spec_category
1,Entrepreneurial Strategies-I,22ONMBT735,1,3,Entrepreneurship
2,Social Entrepreneurship,22ONMBT736,1,3,Entrepreneurship
3,Human Resource Analytics,22ONMBT731,1,3,HRM
4,Organisation Change & Development,22ONMBT732,1,3,HRM
5,Export Import Documentation,22ONMBT733,1,3,International Business
6,International Economics,22ONMBT734,1,3,International Business
7,Marketing Analytics,22ONMBT729,1,3,Marketing
8,Advertising and Brand Management,22ONMBT730,1,3,Marketing
9,Project finance and financial modeling,22ONMBT738,1,3,Finance
10,Banking and Financial Services management,22ONMBT737,1,3,Finance
11,Marketing of Services,23ONMBR768,1,4,Marketing
12,Cross Cultural Management,23ONMBR769,1,4,HRM
13,International Trade,23ONMBR770,1,4,International Business
14,Entrepreneurial Strategies-II,23ONMBR771,1,4,Entrepreneurship
15,Corporate Finance ,23ONMCT655,6,2,Financial Modelling
16,International Financial Reporting Standards,23ONMCT656,6,2,Financial Modelling
17,Capital Market Laws & Regulations,23ONMCT657,6,2,Capital Markets
18,Portfolio Management,23ONMCT658,6,2,Capital Markets
19,Business Valuation,23ONMCT703,6,3,Financial Modelling
20,Financial Planning & Analysis,23ONMCT704,6,3,Financial Modelling
21,Financial Modelling & Analysis,23ONMCT705,6,3,Financial Modelling
22,Prsentation of Financial Information,23ONMCT706,6,3,Financial Modelling
23,Equity Analysis Fundamental and Technical,23ONMCT707,6,3,Capital Markets
24,International Finance and Global Markets,23ONMCT708,6,3,Capital Markets
25,Commodity Markets and Trading,23ONMCT709,6,3,Capital Markets
26,Financial Econometrics,23ONMCT710,6,3,Capital Markets
27,Entrepreneurship,22ONBBT229,2,3,Entrepreneurship
28,Training and Development,22ONBBT230,2,3,HRM
29,Advertising & Brand Management,22ONBBT231,2,3,Marketing
30,Foreign exchange Management for business,22ONBBT232,2,3,IB
31,Behavioral and Personal Finance,23ONBBT270,2,4,Entrepreneurship
32,Compensation Management,23ONBBT271,2,4,HRM
33,Sales and Distribution Management,23ONBBT272,2,4,Marketing
34,Treasury Management,23ONBBT273,2,4,IB
35,Innovation and expansion in family managed business,23ONBBT340,2,5,Entrepreneurship
36,HR Analytics,23ONBBT341,2,5,HRM
37,Services Marketing,23ONBBT342,2,5,Marketing
38,Global Financial Environment,23ONBBT343,2,5,IB
39,Internationalization of Family Managed Business,23ONBBT378,2,6,Entrepreneurship
40,Organizational change and development,23ONBBT379,2,6,HRM
41,Rural marketing,23ONBBT380,2,6,Marketing
42,International Economics and Trade,23ONBBT381,2,6,IB
